hero_id,hero_name,role,rank,input,region,winrate,pickrate,banrate
shion,Shion,DAMAGE,Bronze,Console,Americas,48.2,9.3,1.3
sierra,Sierra,DAMAGE,Bronze,Console,Americas,50.7,18.6,38.4
sigma,Sigma,TANK,Bronze,Console,Americas,50.0,9.0,8.2
sojourn,Sojourn,DAMAGE,Bronze,Console,Americas,45.0,11.5,0.6
soldier-76,Soldier: 76,DAMAGE,Bronze,Console,Americas,51.1,14.4,1.3
sombra,Sombra,DAMAGE,Bronze,Console,Americas,55.3,2.0,86.6
symmetra,Symmetra,DAMAGE,Bronze,Console,Americas,52.6,3.6,13.9
torbjorn,Torbjörn,DAMAGE,Bronze,Console,Americas,54.5,6.9,2.2
tracer,Tracer,DAMAGE,Bronze,Console,Americas,50.4,4.2,14.5
vendetta,Vendetta,DAMAGE,Bronze,Console,Americas,55.8,3.3,1.3
venture,Venture,DAMAGE,Bronze,Console,Americas,52.0,1.7,0.4
widowmaker,Widowmaker,DAMAGE,Bronze,Console,Americas,45.6,8.0,19.8
winston,Winston,TANK,Bronze,Console,Americas,48.1,2.1,1.3
wrecking-ball,Wrecking Ball,TANK,Bronze,Console,Americas,41.6,1.9,5.3
wuyang,Wuyang,SUPPORT,Bronze,Console,Americas,45.7,4.5,0.1
zarya,Zarya,TANK,Bronze,Console,Americas,50.2,2.5,24.5
zenyatta,Zenyatta,SUPPORT,Bronze,Console,Americas,51.1,15.4,1.3
ana,Ana,SUPPORT,Bronze,Console,Europe,48.9,12.9,2.1
anran,Anran,DAMAGE,Bronze,Console,Europe,50.3,7.7,3.6
ashe,Ashe,DAMAGE,Bronze,Console,Europe,48.2,15.8,1.8
baptiste,Baptiste,SUPPORT,Bronze,Console,Europe,48.0,6.9,0.5
bastion,Bastion,DAMAGE,Bronze,Console,Europe,52.3,19.4,10.0
brigitte,Brigitte,SUPPORT,Bronze,Console,Europe,48.3,2.3,0.3
cassidy,Cassidy,DAMAGE,Bronze,Console,Europe,49.5,9.0,0.6
dmon,D.Mon,TANK,Bronze,Console,Europe,57.8,6.7,9.1
dva,D.Va,TANK,Bronze,Console,Europe,48.2,16.3,14.2
domina,Domina,TANK,Bronze,Console,Europe,49.1,4.3,2.7
doomfist,Doomfist,TANK,Bronze,Console,Europe,50.0,3.3,16.1
echo,Echo,DAMAGE,Bronze,Console,Europe,43.8,4.5,0.6
emre,Emre,DAMAGE,Bronze,Console,Europe,48.7,8.3,0.2
freja,Freja,DAMAGE,Bronze,Console,Europe,44.6,7.3,1.3
genji,Genji,DAMAGE,Bronze,Console,Europe,50.5,6.1,4.0
hanzo,Hanzo,DAMAGE,Bronze,Console,Europe,52.5,9.0,1.0
hazard,Hazard,TANK,Bronze,Console,Europe,44.0,1.0,0.4
illari,Illari,SUPPORT,Bronze,Console,Europe,49.9,9.2,0.2
jetpack-cat,Jetpack Cat,SUPPORT,Bronze,Console,Europe,45.4,7.4,35.5
junker-queen,Junker Queen,TANK,Bronze,Console,Europe,54.6,3.1,0.4
junkrat,Junkrat,DAMAGE,Bronze,Console,Europe,47.3,9.1,3.9
juno,Juno,SUPPORT,Bronze,Console,Europe,52.0,34.2,0.8
kiriko,Kiriko,SUPPORT,Bronze,Console,Europe,45.6,20.1,0.5
lifeweaver,Lifeweaver,SUPPORT,Bronze,Console,Europe,48.1,13.0,0.3
lucio,Lúcio,SUPPORT,Bronze,Console,Europe,49.3,6.2,0.5
mauga,Mauga,TANK,Bronze,Console,Europe,45.4,5.2,32.3
mei,Mei,DAMAGE,Bronze,Console,Europe,53.4,5.5,2.3
mercy,Mercy,SUPPORT,Bronze,Console,Europe,45.4,28.3,13.0
mizuki,Mizuki,SUPPORT,Bronze,Console,Europe,53.3,9.2,0.2
moira,Moira,SUPPORT,Bronze,Console,Europe,55.5,30.9,17.5
orisa,Orisa,TANK,Bronze,Console,Europe,50.0,20.4,32.7
pharah,Pharah,DAMAGE,Bronze,Console,Europe,48.6,3.2,5.3
ramattra,Ramattra,TANK,Bronze,Console,Europe,48.0,9.2,5.4
reaper,Reaper,DAMAGE,Bronze,Console,Europe,53.4,8.9,3.7
reinhardt,Reinhardt,TANK,Bronze,Console,Europe,50.7,8.6,7.9
roadhog,Roadhog,TANK,Bronze,Console,Europe,47.2,6.5,15.8
shion,Shion,DAMAGE,Bronze,Console,Europe,48.9,9.4,0.6
sierra,Sierra,DAMAGE,Bronze,Console,Europe,50.5,22.8,26.4
sigma,Sigma,TANK,Bronze,Console,Europe,49.2,9.9,7.3
sojourn,Sojourn,DAMAGE,Bronze,Console,Europe,48.0,13.5,0.8
soldier-76,Soldier: 76,DAMAGE,Bronze,Console,Europe,50.7,14.5,2.5
sombra,Sombra,DAMAGE,Bronze,Console,Europe,48.8,2.2,81.2
symmetra,Symmetra,DAMAGE,Bronze,Console,Europe,51.7,2.5,3.4
torbjorn,Torbjörn,DAMAGE,Bronze,Console,Europe,55.1,6.5,1.2
tracer,Tracer,DAMAGE,Bronze,Console,Europe,49.8,3.9,13.1
vendetta,Vendetta,DAMAGE,Bronze,Console,Europe,56.4,2.0,0.6
venture,Venture,DAMAGE,Bronze,Console,Europe,57.1,1.1,0.1
widowmaker,Widowmaker,DAMAGE,Bronze,Console,Europe,41.1,7.7,46.6
